"Date","Price","Open","High","Low","Vol.","Change %"
"04/01/2026","2,150.29","2,105.13","2,154.48","2,083.73","425.59K","2.14%"
"03/31/2026","2,105.32","2,026.94","2,122.25","2,013.45","421.88K","3.93%"
"03/30/2026","2,025.72","1,985.22","2,083.79","1,980.84","338.30K","2.11%"
"03/29/2026","1,983.89","1,994.37","2,019.15","1,940.22","166.80K","-0.52%"
"03/28/2026","1,994.28","1,992.38","2,038.40","1,983.43","154.78K","0.07%"
"03/27/2026","1,992.82","2,060.55","2,076.87","1,972.66","394.85K","-3.28%"
"03/26/2026","2,060.42","2,168.75","2,172.17","2,034.99","338.02K","-5.00%"
"03/25/2026","2,168.92","2,156.23","2,198.96","2,147.83","275.63K","0.59%"
"03/24/2026","2,156.22","2,152.03","2,174.82","2,104.37","316.71K","0.19%"
"03/23/2026","2,152.18","2,056.45","2,195.83","2,024.19","614.51K","4.79%"
"03/22/2026","2,053.85","2,082.70","2,126.49","2,027.44","313.39K","-1.55%"
"03/21/2026","2,086.12","2,146.65","2,167.61","2,073.08","132.23K","-2.81%"
"03/20/2026","2,146.41","2,138.54","2,176.13","2,117.60","300.17K","0.40%"
"03/19/2026","2,137.78","2,202.99","2,231.99","2,102.09","490.79K","-2.98%"
"03/18/2026","2,203.38","2,317.55","2,348.22","2,155.14","488.05K","-4.93%"
"03/17/2026","2,317.74","2,348.30","2,374.00","2,297.89","493.82K","-1.49%"
"03/16/2026","2,352.79","2,180.91","2,384.90","2,165.36","845.89K","8.01%"
"03/15/2026","2,178.29","2,096.62","2,200.68","2,083.36","280.83K","3.92%"
"03/14/2026","2,096.15","2,090.44","2,105.61","2,062.80","152.50K","0.17%"
"03/13/2026","2,092.61","2,073.51","2,206.32","2,071.09","599.66K","0.95%"
"03/12/2026","2,073.02","2,052.85","2,093.39","2,018.21","400.49K","1.03%"
"03/11/2026","2,051.97","2,035.80","2,085.57","2,007.83","350.04K","0.75%"
"03/10/2026","2,036.72","1,992.25","2,087.93","1,991.29","463.45K","2.14%"
"03/09/2026","1,994.04","1,937.87","2,051.69","1,932.02","550.76K","2.94%"
